name,description,ingr_type,unit_of_measure,image_url,flavor,texture,origin
ketchup,tangy tomato-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|sweet|savory,thick,Europe|North America
mayonnaise,creamy egg-based sauce,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|savory,smooth,Europe
peanut sauce,thick, nutty sauce with a slightly sweet and savory flavor,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,nutty|savory|slightly sweet,thick,Southeast Asia
satay sauce,spicy and nutty sauce served with satay skewers,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,nutty|savory|spicy,thick,Indonesia|Thailand
sweet chili sauce,sweet, tangy, and spicy sauce commonly used in Thai cuisine,thin sauce,tablespoon,wire_thin_sauce_am_fl1iea,sweet|spicy|tangy,thin,Thailand
yellow curry paste,spicy and earthy curry paste with turmeric,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|earthy|warm,thick,Thailand
red curry paste,fragrant and savory curry paste with red chili peppers,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|fragrant|savory,thick,Thailand
green curry paste,spicy and herby curry paste with green chilies and herbs,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|herby|fragrant,thick,Thailand
black bean sauce,savory and earthy sauce made from fermented black beans,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,savory|earthy|salty,thick,China
chili garlic sauce,spicy and garlicky sauce made with chili peppers,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,spicy|garlicky|savory,thick,China
tomatillo sauce,tangy and savory sauce made from tomatillos,thin sauce,tablespoon,wire_thin_sauce_am_fl1iea,tangy|savory|spicy,thin,Mexico
queso fresco sauce,cheesy, tangy, and savory sauce made from fresh cheese,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,cheesy|savory|tangy,thick,Mexico
crema,creamy and mildly tangy sauce commonly used in Mexican cuisine,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|mild|tangy,thick,Mexico
yogurt sauce,tangy and creamy sauce made from yogurt,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|creamy|herby,thick,Global
tartar sauce,creamy, tangy sauce made with mayonnaise and pickles,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|creamy|savory,thick,France|United Kingdom
cocktail sauce,tangy and spicy sauce often served with seafood,thin sauce,tablespoon,wire_thin_sauce_am_fl1iea,tangy|spicy|savory,thin,North America
mignonette sauce,tangy and peppery sauce made with vinegar and pepper,thin sauce,tablespoon,wire_thin_sauce_am_fl1iea,tangy|acidic|peppery,thin,France
anchovy paste,salty and savory paste made from anchovies,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,savory|salty|fishy,thick,Europe
garlic butter,buttery and garlicky sauce,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,buttery|garlicky|savory,thick,Global
herb butter,buttery and herby sauce made with fresh herbs,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,buttery|herby|savory,thick,Global
truffle butter,buttery sauce with earthy truffle flavor,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,buttery|earthy|rich,thick,Europe
apple butter,sweet and spiced sauce made from cooked apples,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|fruity|spiced,thick,North America
pumpkin butter,sweet and spiced sauce made from cooked pumpkin,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|spiced|buttery,thick,North America
maple butter,sweet and rich butter flavored with maple syrup,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|buttery|rich,thick,North America
fruit preserves,sweet, fruity spread made from cooked fruit,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|fruity|tangy,thick,Global
jam,sweet and fruity spread made from fruit and sugar,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|fruity|tangy,thick,Global
jelly,sweet and smooth spread made from fruit juice,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|fruity|smooth,thick,Global
marmalade,sweet and tangy spread made from citrus fruit,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|tangy|fruity,thick,Global
nut butter,creamy spread made from ground nuts,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,nutty|savory|creamy,thick,Global
peanut butter,creamy and nutty spread made from ground peanuts,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,nutty|creamy|savory,thick,Global
almond butter,creamy and nutty spread made from ground almonds,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,nutty|creamy|savory,thick,Global
cashew butter,creamy and nutty spread made from ground cashews,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,nutty|creamy|savory,thick,Global
hazelnut spread,sweet and nutty spread made from ground hazelnuts and cocoa,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,nutty|chocolatey|sweet,thick,Global
chocolate spread,creamy and sweet spread made from chocolate and sugar,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|chocolatey|creamy,thick,Global
dulce de leche,sweet and creamy caramelized milk spread,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|caramelized|creamy,thick,Latin America
caramel sauce,sweet and rich sauce made from butter, sugar, and cream,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|buttery|rich,thick,Global
butterscotch sauce,sweet and buttery sauce with a caramelized flavor,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|buttery|caramelized,thick,Global
honey,sweet, floral syrup made by bees from flower nectar,thin sauce,tablespoon,wire_thin_sauce_am_fl1iea,sweet|floral|sticky,thin,Global
golden syrup,sweet syrup with a caramelized flavor,thin sauce,tablespoon,wire_thin_sauce_am_fl1iea,sweet|caramelized|sticky,thin,United Kingdom
molasses,sweet and earthy syrup made from sugarcane or sugar beets,thin sauce,tablespoon,wire_thin_sauce_am_fl1iea,sweet|earthy|sticky,thin,Global
agave syrup,sweet and mild syrup made from the agave plant,thin sauce,tablespoon,wire_thin_sauce_am_fl1iea,sweet|mild|smooth,thin,Central America
marshmallow cream,sweet and fluffy spread made from marshmallow ingredients,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,sweet|fluffy|sticky,thick,North America
custard,creamy and sweet sauce made with eggs, milk, and sugar,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,creamy|sweet|vanilla,thick,Europe
lemon curd,tangy and sweet sauce made from lemon juice, sugar, and eggs,thick sauce,tablespoon,wire_thick_sauce_am_q1uzcx,tangy|sweet|buttery,thick,United Kingdom
